ID,SMILES,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed,senolytic
compound1, CC(N)O.Cc1cc(CC(C)CC(C)(C)C)n(O)c(=O)c1 ,8.85294006741112e-07,484.52106041577883,16.79252873988395,14.050853985284963,14.050853985284963,9.419409974834364,7.275874402685162,7.275874402685162,6.988754209775597,6.988754209775597,2.744668461559182,2.744668461559182,2.383028015694753,2.383028015694753,6.227901171,10.001790208849112,0,10.974257364448787,11.611834041009853,23.13550237945524,12.990104268152233,0,12.990104268152233,33.42861627592468,5.106527394840706,298.2256428,1.2857142857142858,1.7619047619047619,2.1904761904761907,0.6875,-1.33,21,268.187,12959.10160158143,19.670000000000005,8.195423214111736,9.260170898295446,126.92513579985719,11.440333167989419,0.42511995877470626,11.440333167989419,0.2828019272984308,0.2676805791761149,0.2828019272984308,-0.666666667,-0.425119959,2.2922200000000004,85.43170000000005,298.427,4,5,0,0,0,0,1,1,5,3,5,0,3,0,0,0,122,16.04744789678018,0,0,0,5.559266895052008,0,4.794537184071822,0,4.7304076419062255,0,27.694948798762496,49.65183272095005,6.066367068,11.92182916558333,1,10.313780419617995,0,0,4.7304076419062255,17.066563992720358,60.61196761473063,0,33.743917702592505,0,0,11.292934372214193,0,0,0,21.27208923225909,6.4208216229260096,18.256633715248796,52.296887107924576,16.927271320995043,0,0,0,88.47999999999999,0.77,0,11.440333167989419,17.506707294028722,6.191724419,0.4394444444444442,3.3179413501511714,1.124823790627362,12.125692200491308,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5898693897295243,1
compound2, CC1CCC2C(C)C(O)OC3OC4(C)CCC1C32OO4 ,1.8172817323754271,411.06805351089514,14.120955864630139,12.372735497239358,12.372735497239358,9.461779517,7.843368977444724,7.843368977444724,7.295866811480199,7.295866811480199,6.122915804815299,6.122915804815299,4.885408237407989,4.885408237407989,23.96821542222471,5.106527394840706,0,11.835812092322787,11.835812092322787,19.26246486877803,6.4208216229260096,0,13.847474399381248,6.923737199690624,19.248867814112323,284.1623739,1.05,1.85,2.65,1,-0.2,20,260.15999999999997,48486.52784284988,13.462049861495844,4.168830659835952,1.5571910335250945,119.00282600122699,10.196379440665156,0.36760446434583227,10.196379440665156,0.20128179483621375,0.037876039304610476,0.20128179483621375,-0.781267479,-0.367604464,2.1867,69.04680000000006,284.352,1,5,1,4,5,0,0,0,5,1,5,0,0,1,4,5,114,14.580253302440804,0,18.181104269654114,5.7871111525705965,0,0,0,9.775141906512223,0,0,13.847474399381248,38.022014160791436,18.256633715248796,0,5,24.355395208953027,0,0,0,23.671624184645573,70.42271351300063,0,0,0,0,0,0,0,0,29.074742817065413,19.248867814112323,23.671624184645573,46.454498090775914,0,0,0,0,57.150000000000006,11.851921296296297,0,11.62555366591081,10.196379440665156,-0.549282407,0.43670682161753493,0,2.7236597694633407,6.215061413,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6909963971993888,1
compound3, CCC(C)C1OC2(C=CC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2 ,1.1826083610685867,1725.6375706140175,44.672268670648876,38.21587617964884,38.21587617964884,29.49742567265985,22.859695210211616,22.859695210211616,18.95576016,18.95576016,14.503987417674312,14.503987417674312,10.559709604221796,10.559709604221796,90.79112424607268,20.11411936859394,0,42.67249927,43.25031717476858,11.993926152995277,0,40.219109695604075,32.07553471988289,39.84698901243026,47.36862953800049,872.4922069840001,0.8870967741935484,1.596774193548387,2.3225806451612905,0.7708333333333334,-2.31,62,800.514,3.06703E+13,47.646529653563846,19.654499789854118,9.638804164526613,367.08237282054483,14.348082447084542,0.46150281194723836,14.348082447084542,0.31599799066561324,0.031689571,0.31599799066561324,-1.835519419,-0.461502812,5.377400000000007,227.30539999999914,873.0900000000003,3,14,1,6,7,0,0,0,14,3,14,0,8,0,4,4,348,62.68821172,42.03878879588659,18.367164611241023,0,0,5.969305287951849,4.794537184071822,0,0,0,70.57189106269179,62.82901016489157,51.73869366658188,49.33464667875103,7,67.48274890659442,5.969305287951849,0,0,23.671624184645573,191.13063941028543,20.826477047067986,59.251454338044965,0,0,0,0,0,0,139.33117659474627,52.16316672207231,23.671624184645573,93.91482733508104,59.251454338044965,0,0,0,170.06,63.66839583554565,0,14.348082447084542,34.22768886883812,0.13364478109318645,-2.563470838,0,8.546950027426325,16.08612581476407,3.219249730160997,0,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21006400530937278,1
compound4, COc1c(O)cc2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c2c1CC=C(C)C ,2.451078169247187,1252.8859797417783,22.162407748957516,17.790000297023063,17.790000297023063,14.149973463139387,9.651219434324679,9.651219434324679,7.7790027034642915,7.7790027034642915,4.975799842,4.975799842,3.4600535121068425,3.4600535121068425,5.428790391900541,20.11411936859394,0,56.920809159972706,11.984273114623004,11.146209060138535,19.242531678200752,0,39.84698901243026,0,9.154013890853395,410.17293855199995,0.9,1.4333333333333333,2,0.2916666666666667,-3.41,30,384.2580000000002,3209005.5616377085,21.30250119741161,8.143546964480224,3.7274558275107443,173.8924747871093,13.480485323759133,0.507374133,13.480485323759133,0.20423314037762078,0.010510204081632502,0.20423314037762078,-0.446614701,-0.507374133,5.089000000000003,117.80640000000004,410.46600000000024,3,6,0,0,0,2,1,3,6,3,6,0,5,0,0,0,158,24.47359607537551,28.05128816431709,11.49902366656781,5.428790391900541,0,0,4.794537184071822,0,0,0,23.29824927,40.53659204461451,23.259637120317212,12.49602175574233,3,24.47359607537551,21.938488712214077,0,0,0,40.53659204461451,7.109797541277533,56.78121397009587,0,22.99804733313562,10.16565334570059,0,22.99804733313562,0,22.42937972579965,12.841643245852019,0,38.821851782156486,44.64267153185468,0,21.938488712214077,0,100.13,11.176915865953564,0,13.480485323759133,31.80034697572344,2.5337236740824833,-0.436282154,2.6322600676072896,4.383898346873185,7.676071156623313,1.4192474103711477,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4001707200884569,1
compound5, Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1 ,2.160670373157657,1038.352309274621,19.112519696192855,13.526568173315447,14.343064754243173,12.05368002394561,7.431011521006022,8.977330998927583,5.729316679572381,7.290739737039967,3.7569511614798285,4.686182394891396,2.423419691271623,2.9388595172454783,21.89351766569952,21.589042127353398,0,16.276797745049798,5.563451491696996,16.31162149530379,24.26546827384644,24.26546827384644,6.923737199690624,5.098681808301038,5.138973737607942,381.07588234799994,1,1.5769230769230769,2.076923076923077,0.11764705882352941,-2.65,26,367.2670000000001,574866.9522088347,18.150392143132244,6.257288917142293,3.630382561957936,147.47998201558556,13.125483518272116,0.43469853500899064,13.125483518272116,0.43469853500899064,0.1376510348234279,0.23250484922259315,-4.605917134,-0.232504849,3.5139200000000006,90.1122,381.3790000000001,2,5,0,0,0,2,1,3,4,1,9,0,3,0,0,0,136,0,0,5.693927994848461,10.023291153407584,0,6.176298517443475,0,18.238573657082064,18.269926951325495,0,29.828919765543436,37.255572541998674,5.563451491696996,16.276797745049798,3,21.589042127353398,10.023291153407584,0,9.780484743446223,5.138973737607942,17.995519192651873,0,65.85468310269995,0,16.944765761229018,5.138973737607942,13.171245143024459,0,0,18.19828172777516,16.199589670851058,6.923737199690624,11.257379486545457,59.49278709167226,0,16.944765761229018,0,77.98,63.188196062459355,0,-0.137651035,8.696206250372224,0.9955943825277807,0,13.057512641554172,-4.605917134,1.8692489037768758,-3.896523405,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7541053298167572,1
compound6, COc1c(-c2coc3cc4c(cc3c2=O)CC(O)C(C)(C)O4)ccc2c1C=CC(C)(C)O2 ,1.6661830886863889,1328.3770163861934,22.836134335324452,18.81436398252283,18.81436398252283,15.093285359101184,10.646238150901995,10.646238150901995,9.457053199998334,9.457053199998334,6.219214103947356,6.219214103947356,4.309532213863374,4.309532213863374,17.30606800971568,9.901064578912528,0,5.428790391900541,45.765504462278756,11.126902983393991,6.263162995639057,19.242531678200752,51.979723149353475,0,18.627739798453494,434.17293855199995,1.0625,1.84375,2.59375,0.34615384615384615,-3.25,32,408.28000000000026,14081631.987724489,20.64149816444263,6.873115197404002,3.174357669,185.58446814118565,13.494762731481483,0.4953312686514098,13.494762731481483,0.20014439191035718,0.1734622884647683,0.20014439191035718,-0.706782228,-0.495331269,4.727200000000005,122.63080000000004,434.48800000000017,1,6,0,2,2,2,1,3,6,1,6,0,2,0,0,0,166,23.73426719,40.296820259100386,0,5.428790391900541,0,0,4.794537184071822,0,0,0,0,63.60954170951209,18.050640183084617,29.726891126884624,5,23.73426719,17.045264462940917,0,0,0,51.42183843140418,7.109797541277533,57.95488193568573,0,28.375438483245706,19.63937925330069,0,17.248535499851716,0,29.522392945833914,6.4208216229260096,0,38.821851782156486,45.816339497444545,0,28.17216744633491,0,78.13000000000001,23.557118935553937,0,13.494762731481483,10.848685616231613,1.7347743856941973,1.8800228224149098,7.153872153212881,5.118306172321792,7.636838041595229,1.575619141493961,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6284822605004711,1
compound7, O=C(C=Cc1ccccc1)c1ccc(O)cc1 ,2.1188587129055887,524.6080948683215,12.08757566981053,9.206314847049708,9.206314847049708,8.254020195,5.3204653530737485,5.3204653530737485,3.6551417303093974,3.6551417303093974,2.3785531377098628,2.3785531377098628,1.457984037211717,1.457984037211717,0,4.794537184071822,0,11.532756779648844,5.563451491696996,5.563451491696996,18.208754243757102,18.208754243757102,30.33183534230805,0,5.106527394840706,224.0837296,0.9411764705882353,1.588235294117647,2.235294117647059,0,-2.35,17,212.16299999999995,9630.632850841708,11.144850411864978,5.122401198342021,3.0489524746038867,99.84947648880636,11.760855536659108,0.5079662129763628,11.760855536659108,0.18535473531491684,0.075136054,0.18535473531491684,-0.075136054,-0.507966213,3.2883000000000013,67.91330000000002,224.25900000000001,1,2,0,0,0,2,0,2,2,1,2,0,3,0,0,0,84,5.106527394840706,5.749511833283905,5.783244946364939,0,0,0,4.794537184071822,0,0,0,36.407855449141934,35.90493987237732,5.563451491696996,0,2,9.901064578912528,11.85926505319882,0,0,0,0,0,71.80022670638238,0,5.749511833283905,0,0,5.749511833283905,0,10.889772341205646,0,0,15.921440167465814,60.67332372298837,0,6.076020106833881,0,37.3,0,0,11.760855536659108,9.117041838365793,1.5505643214075757,0.085594469,15.850125617995385,3.302484882842026,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6412736177915347,1
compound8, COC1CC(OC2C(C)=CCC3CC(CC4(CCC(C)C(C5CCCCC5)O4)O3)OC(=O)C3C=C(C)C(=NO)C4OCC(=CC=CC2C)C34O)OC(C)C1O ,1.248867427437467,1549.952097492488,39.06997437507693,33.43242692536257,33.43242692536257,26.350359964918443,20.724747795538992,20.724747795538992,17.422416364600696,17.422416364600696,13.555248312083009,13.555248312083009,10.375572443600523,10.375572443600523,66.18919835349254,20.214844998530523,0,30.444405788941623,55.086129267091366,24.835569398847294,19.26246486877803,26.185574954635918,19.075777413358388,32.00294443265629,33.15804067660034,769.4401118359999,1.018181818181818,1.8,2.5454545454545454,0.7674418604651163,-2.42,55,706.469,1553997243203.968,40.76472554216724,16.81774007201555,8.169542371438508,325.4559905775635,14.388902850637642,0.46151677776838773,14.388902850637642,0.3160219951165916,0.035947552,0.3160219951165916,-1.831643359,-0.461516778,6.069800000000008,203.11209999999934,769.9730000000004,3,12,2,5,7,0,0,0,12,3,12,0,4,1,4,5,306,48.57834849105904,35.54254102316069,12.07713788190581,0,0,5.969305287951849,4.794537184071822,0,0,0,68.64575252907922,75.00962377,38.71099007914296,37.12671390325443,7,53.37288567513086,11.680990290722551,0,0,28.827336911396117,171.75764364551517,13.716679505790452,47.099414124377205,0,0,0,0,0,0,107.32789740584762,37.952577860672164,23.671624184645573,105.24772385063923,52.25512685112775,0,0,0,154.73000000000002,45.10531780331256,0,14.388902850637642,36.652963211273274,0.3619867430411938,-1.831166419,0,14.401389893454505,10.000542978136963,1.5867296061111937,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13218427983626985,1
compound9, COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-] ,2.691404767083548,869.2018167430791,21.007707210578264,16.567911734607442,16.567911734607442,13.18364697,8.858499677223671,8.858499677223671,6.9351786677113205,6.9351786677113205,4.377801003,4.377801003,3.174129093813246,3.174129093813246,22.779827670882764,19.703392636909218,0,34.92183484,11.394078626111666,0,25.30889874666236,19.913841467842857,13.847474399381248,5.316788604006331,9.473725907600098,388.16343648799995,1.1428571428571428,1.7142857142857142,2.25,0.4,-3.16,28,364.2280000000001,1065637.2999448502,21.143606859070825,8.685527401454435,4.214929198899866,162.90852806836088,12.876351095993954,0.46558003067235826,12.876351095993954,0.33626393,0.11414162887377155,0.33626393,-0.97688681,-0.465580031,3.201800000000002,102.18610000000007,388.4200000000001,1,8,0,1,1,1,0,1,7,1,8,0,6,0,0,0,150,14.790514511606428,0,0,0,5.687386274683562,11.938610575903699,10.114318268765572,9.589074368143644,0,0,32.046575604766076,19.76538044554264,23.023897186270272,35.704105660908056,2,23.98611132456141,17.62599685058726,0,5.316788604006331,5.917906046161393,33.61285484492389,13.716679505790452,62.48352572055921,0,0,5.316788604006331,5.687386274683562,0,0,30.57860113051182,19.06280027574374,16.032224314926967,39.17630633662088,46.80575596009664,0,0,0,107.77000000000001,10.273361546779206,0,36.45158294,14.589847953873928,1.2684975224657784,-2.163148253,6.034502839716133,0,7.322127074531476,1.223228379314689,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45278603663958333,1
compound10, CC(C)c1cccc(C(C)C)c1O ,3.184631820665765,260.92599275295936,10.008071689507773,8.833964941,8.833964941,6.036581260209187,4.854375079554401,4.854375079554401,4.094474900094651,4.094474900094651,2.3424578063246844,2.3424578063246844,1.511758481460236,1.511758481460236,0,5.106527394840706,0,0,17.58532392560669,11.126902983393991,0,0,18.19910120538483,27.694948798762496,0,178.1357652,0.9230769230769231,1.3076923076923077,1.6153846153846154,0.5,-0.98,13,160.13099999999997,682.2216965649914,10.103194675540763,3.8194244691736134,2.029220523972004,80.41528955807262,9.92962963,0.5073633055031387,9.92962963,0.12197294149608193,0.387685185,0.12197294149608193,0.387685185,-0.507363306,3.6390000000000025,56.28480000000004,178.27499999999995,1,1,0,0,0,1,0,1,1,1,1,0,2,0,0,0,72,5.106527394840706,5.749511833283905,0,0,0,0,0,0,0,0,45.89405000414732,22.96271507571678,0,0,1,5.106527394840706,0,0,0,0,39.53076089108528,0,29.32600418877882,0,5.749511833283905,0,0,5.749511833283905,0,5.106527394840706,0,0,50.65766387447927,18.19910120538483,0,0,0,20.23,0,0,0,9.92962963,2.094814814814815,1.254537037037037,6.00212963,0,8.385555555555555,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7326761559104263,1
